tra_acc_list,val_acc_list
76.74696579624862,76.61764705882354
83.1923501287238,83.38235294117646
83.67966164030894,83.67647058823529
84.81059212945937,84.26470588235294
86.34608311879367,84.8529411764706
84.24052960647296,83.67647058823529
86.77822728944464,86.02941176470588
88.78264067671938,88.52941176470588
89.11364472232438,88.45588235294117
90.12504597278411,88.38235294117646
89.71129091577787,88.30882352941177
89.63773446119897,88.97058823529412
90.42846634792203,89.41176470588235
89.67451268848842,88.38235294117646
90.43766090474439,90.44117647058823
90.83302684810592,90.22058823529412
90.78705406399412,89.55882352941177
91.41228392791467,90.88235294117646
91.68812063258551,90.95588235294117
91.54100772342773,90.58823529411765
91.04450165502023,90.29411764705883
93.03052592865023,92.05882352941177
93.03052592865023,92.13235294117646
93.22361162191983,91.76470588235294
93.22361162191983,92.05882352941177
93.72011769032733,92.3529411764706
93.72011769032733,92.5
93.58219933799191,91.25
93.35233541743288,91.47058823529412
94.1522618609783,92.3529411764706
93.72011769032733,92.3529411764706
93.63736667892607,92.27941176470588
93.45347554247886,91.98529411764706
93.71092313350496,92.27941176470588
93.83045237219567,91.91176470588235
93.79367414490622,92.57352941176471
93.80286870172857,92.72058823529412
93.51783744023538,92.57352941176471
93.64656123574844,92.6470588235294
93.95917616770872,91.61764705882354
